[front_panel]
mode=T2 - R2
output=20 dB
gain=25 dB
probe1=2 MHz
probe2=2 MHz

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2700
units=1

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [mm]	Amplitude	
5,427E+00	3,374E-01	
5,454E+00	3,377E-01	
5,481E+00	3,371E-01	
5,508E+00	3,356E-01	
5,535E+00	3,333E-01	
5,562E+00	3,304E-01	
5,589E+00	3,269E-01	
5,616E+00	3,230E-01	
5,643E+00	3,188E-01	
5,670E+00	3,144E-01	
5,697E+00	3,101E-01	
5,724E+00	3,058E-01	
5,751E+00	3,018E-01	
5,778E+00	2,981E-01	
5,805E+00	2,948E-01	
5,832E+00	2,918E-01	
5,859E+00	2,893E-01	
5,886E+00	2,872E-01	
5,913E+00	2,854E-01	
5,940E+00	2,838E-01	
5,967E+00	2,824E-01	
5,994E+00	2,811E-01	
6,021E+00	2,797E-01	
6,048E+00	2,782E-01	
6,075E+00	2,764E-01	
6,102E+00	2,742E-01	
6,129E+00	2,716E-01	
6,156E+00	2,685E-01	
6,183E+00	2,649E-01	
6,210E+00	2,606E-01	
6,237E+00	2,559E-01	
6,264E+00	2,506E-01	
6,291E+00	2,449E-01	
6,318E+00	2,387E-01	
6,345E+00	2,323E-01	
6,372E+00	2,258E-01	
6,399E+00	2,191E-01	
6,426E+00	2,126E-01	
6,453E+00	2,062E-01	
6,480E+00	2,000E-01	
6,507E+00	1,943E-01	
6,534E+00	1,890E-01	
6,561E+00	1,842E-01	
6,588E+00	1,799E-01	
6,615E+00	1,762E-01	
6,642E+00	1,731E-01	
6,669E+00	1,704E-01	
6,696E+00	1,682E-01	
6,723E+00	1,664E-01	
6,750E+00	1,650E-01	
6,777E+00	1,637E-01	
6,804E+00	1,626E-01	
6,831E+00	1,616E-01	
6,858E+00	1,605E-01	
6,885E+00	1,593E-01	
6,912E+00	1,580E-01	
6,939E+00	1,564E-01	
6,966E+00	1,546E-01	
6,993E+00	1,525E-01	
7,020E+00	1,501E-01	
7,047E+00	1,475E-01	
7,074E+00	1,446E-01	
7,101E+00	1,416E-01	
7,128E+00	1,384E-01	
7,155E+00	1,353E-01	
7,182E+00	1,321E-01	
7,209E+00	1,291E-01	
7,236E+00	1,263E-01	
7,263E+00	1,237E-01	
7,290E+00	1,215E-01	
7,317E+00	1,196E-01	
7,344E+00	1,181E-01	
7,371E+00	1,170E-01	
7,398E+00	1,164E-01	
7,425E+00	1,162E-01	
7,452E+00	1,163E-01	
7,479E+00	1,167E-01	
7,506E+00	1,174E-01	
7,533E+00	1,183E-01	
7,560E+00	1,193E-01	
