time [µs]	Amp[V]	HF [V]	TGC [dB]
0,0	0,450	0,001	1,575
0,1	0,532	0,017	1,732
0,2	0,601	0,994	1,417
0,3	0,651	-0,093	0,787
0,4	0,682	-1,014	1,890
0,5	0,693	-0,581	2,205
0,6	0,686	0,253	1,732
0,7	0,664	0,576	1,417
0,8	0,632	0,324	1,417
0,9	0,597	-0,022	1,575
1,0	0,562	0,379	1,732
1,1	0,533	0,277	1,732
1,2	0,512	0,064	1,575
1,3	0,502	0,757	1,417
1,4	0,503	-0,006	1,575
1,5	0,512	-0,274	1,575
1,6	0,528	-0,101	1,732
1,7	0,548	-1,014	1,732
1,8	0,567	-0,125	1,575
1,9	0,582	0,474	1,575
2,0	0,590	0,049	1,575
2,1	0,589	0,222	1,575
2,2	0,577	-0,077	1,575
2,3	0,555	-0,550	1,575
2,4	0,523	-0,502	1,575
2,5	0,482	-0,432	1,575
2,6	0,434	-0,321	1,575
2,7	0,381	0,167	1,575
2,8	0,326	0,261	1,575
2,9	0,271	0,198	1,575
3,0	0,218	0,214	1,575
3,1	0,170	0,057	1,575
3,2	0,128	0,057	1,575
3,3	0,092	0,064	1,575
3,4	0,064	0,009	1,575
3,5	0,044	0,072	1,732
3,6	0,030	0,057	1,575
3,7	0,022	0,009	1,575
3,8	0,019	0,025	1,732
3,9	0,020	0,009	1,575
4,0	0,022	-0,006	1,575
4,1	0,026	0,025	1,575
4,2	0,029	0,017	1,575
4,3	0,032	0,001	1,575
4,4	0,033	0,017	1,575
4,5	0,033	-0,006	1,575
4,6	0,031	-0,006	1,575
4,7	0,028	-0,006	1,575
4,8	0,025	-0,014	1,575
4,9	0,020	-0,014	1,575
5,0	0,016	-0,006	1,575
5,1	0,012	-0,014	1,575
5,2	0,009	-0,006	1,575
5,3	0,008	-0,006	1,575
5,4	0,007	-0,006	1,575
5,5	0,007	-0,006	1,575
5,6	0,008	0,001	1,575
5,7	0,009	0,001	1,575
5,8	0,011	0,001	1,575
5,9	0,012	0,001	1,575
6,0	0,014	-0,006	1,575
6,1	0,015	-0,006	1,260
6,2	0,015	-0,014	2,520
6,3	0,015	-0,022	4,252
6,4	0,014	-0,014	5,512
6,5	0,013	-0,006	6,457
6,6	0,012	0,001	7,087
6,7	0,011	0,001	7,559
6,8	0,010	0,009	8,031
6,9	0,009	0,001	8,504
7,0	0,008	0,001	8,819
7,1	0,008	0,001	9,291
7,2	0,008	0,001	9,606
