# Kristallwinkel	Rate bei 35kV
# theta/�	R(35kV)/Imp/s
 8.8    119.0
 8.9    117.0
 9.0    114.0
 9.1    113.0
 9.2    109.0
 9.3    113.0
 9.4    107.0
 9.5    104.0
 9.6    110.0
 9.7    132.0
 9.8    175.0
 9.9    198.0
10.0	247.0
10.1	271.0
10.2	273.0
10.3	278.0
10.4	280.0
10.5	270.0
10.6	279.0
10.7	279.0
10.8	276.0
10.9	273.0
11.0	273.0
