time [µs]	Amp[V]	HF [V]	TGC [dB]
20,4	0,018	-0,006	31,024
20,5	0,013	-0,014	31,024
20,6	0,016	-0,014	31,024
20,7	0,024	-0,006	31,024
20,8	0,030	0,025	30,866
20,9	0,031	0,025	30,866
21,0	0,029	0,025	30,866
21,1	0,026	0,002	30,866
21,2	0,025	-0,006	30,866
21,3	0,024	-0,022	30,866
21,4	0,024	-0,022	30,866
21,5	0,023	-0,014	30,866
21,6	0,021	0,009	30,866
21,7	0,018	0,017	30,866
21,8	0,015	0,009	30,866
21,9	0,014	-0,006	30,866
22,0	0,016	-0,014	30,866
22,1	0,020	0,002	30,866
22,2	0,023	0,025	30,866
22,3	0,024	0,002	30,866
22,4	0,021	-0,014	30,866
22,5	0,015	-0,014	30,866
22,6	0,012	0,009	30,866
22,7	0,015	-0,014	30,866
22,8	0,024	0,017	30,866
22,9	0,034	0,025	30,866
23,0	0,040	0,033	30,866
23,1	0,039	-0,014	30,866
23,2	0,033	-0,030	30,866
23,3	0,027	-0,022	30,866
23,4	0,026	-0,014	30,866
23,5	0,029	0,002	30,866
23,6	0,033	0,033	30,866
23,7	0,034	0,033	30,866
23,8	0,032	0,009	30,866
23,9	0,028	-0,006	30,866
24,0	0,025	0,002	30,866
24,1	0,025	-0,030	30,866
24,2	0,025	-0,022	30,866
24,3	0,023	0,002	30,866
24,4	0,020	0,017	30,866
24,5	0,017	-0,006	30,866
24,6	0,015	-0,014	30,866
24,7	0,015	-0,014	30,866
24,8	0,015	0,009	30,866
24,9	0,014	0,002	30,866
25,0	0,012	-0,006	30,866
25,1	0,010	0,009	30,709
25,2	0,010	0,009	30,866
25,3	0,012	0,009	30,866
25,4	0,015	-0,006	30,866
25,5	0,015	-0,006	30,866
25,6	0,013	0,002	30,866
25,7	0,009	-0,014	30,866
25,8	0,007	-0,006	31,024
25,9	0,008	-0,006	30,866
26,0	0,013	-0,006	30,866
26,1	0,020	-0,022	30,866
26,2	0,028	-0,006	30,866
26,3	0,033	0,025	30,866
26,4	0,035	0,033	30,866
26,5	0,034	0,002	30,709
26,6	0,032	-0,014	30,709
26,7	0,027	-0,030	30,866
26,8	0,020	-0,014	30,866
26,9	0,014	-0,006	31,024
27,0	0,011	0,009	30,866
27,1	0,013	0,009	30,866
27,2	0,019	0,002	30,866
27,3	0,027	-0,014	30,866
27,4	0,033	-0,038	30,866
27,5	0,034	-0,014	30,866
27,6	0,033	0,009	30,866
27,7	0,033	0,033	30,709
27,8	0,034	0,025	30,866
27,9	0,036	0,009	30,866
28,0	0,036	-0,022	30,866
28,1	0,032	-0,038	30,866
28,2	0,024	-0,006	30,866
28,3	0,015	-0,014	30,866
28,4	0,008	0,002	30,866
28,5	0,007	0,002	30,866
28,6	0,009	0,009	30,866
